Link,Title,Location,Summary
https://kr.indeed.com/viewjob?jk=,,서울 영등포구,"ㆍ금융솔루션 소프트웨어 금융 자산수탁 개발/유지보수 nexacro , C 사용가능자 (당사 금융패키지 필수 언어) 또는 금융권 개발 경력자 [근무시간... 통신·모바일·게임>응용프로그래머> C·C++|인터넷·IT·통신·모바일·게임..."
https://kr.indeed.com/viewjob?jk=,,서울 종로구,통신·모바일·게임>응용프로그래머> C·C++|인터넷·IT·통신·모바일·게임... 래머>COM·DCOM|인터넷·IT·통신·모바일·게임>응용프로그래머>Pro- C|인터넷·IT·통신·모바일·게임>응용프로그래머>Win32|인터넷·IT·통신...
https://kr.indeed.com/viewjob?jk=,,성남 판교역,"통해 알고리즘을 개선합니다. 지원자격 하나 이상의 프로그래밍 언어에 익숙한 분(Python, Java, C/C++, Scala 등) 머신러닝/딥러닝 오픈소스를 이용하여 1년 이상 특정 서비스에 모델 개발/운영 경험을..."
https://kr.indeed.com/viewjob?jk=,,서울 노원구,직무내용] 업무내용1) 고객관리 - 오픈마켓 주문 관리 - C/S 및 채팅 문의 답변 (B2C/ B2B)2) 경영지원 - 자료조사 및 문서작성 - 컨텐츠 기획·제작 참여 - 마케팅 및 영업 지원 [근무시간 및 형태] 주 5일...
https://kr.indeed.com/viewjob?jk=,,성남 분당구,"시스템에 대한 이해 및 활용 가능, C/C++/C# 언어에대한 이해 및... 컴퓨터공학 관련 전공자 - 임베디드 시스템에 대한 이해 및 활용 가능 - C/C++/C# 언어에대한 이해 및 활용 가능[우대사항]우대사항: 인근거주자..."
https://kr.indeed.com/viewjob?jk=,,성남 판교역,어에 대한 깊은 이해와 사용 경험 - 객체지향 설계에 대한 이해 - 새로운 기술이나 언어 습득에 적극적인 분 - C/C++/Java 언어에서 발생할 수 있는 크래시에 대한 지식 - 웹서비스 백엔드 개발 및 라이브 서비스 운영...
https://kr.indeed.com/viewjob?jk=,,서울 강남구,"가능)- 나이/성별 무관- 신입/경력 무관- 전기/전자 공학계열 전공자 우대- 의료기기 및 동종업계 종사자 우대- C언어, C#, MFC 가능자- 적극적이고 긍정적인 성격의 소유자- 근면 성실한 자 2 명 근무조건 근무부서..."
https://kr.indeed.com/viewjob?jk=,,서울,"comfortable speaking with developers, product managers, and C-level executives. WHAT YOU WILL DO Handle support cases from..."
https://kr.indeed.com/viewjob?jk=,,서울,"플레이 소재) 대리-차장급 초빙 - 유명 대기업 모집부문 및 자격요건 담당업무 자격요건 인원 [담당업무]Si/ C 음극재 Project 지원, 배터리/반도체/디스플레이/친환경 소재 관련 신규과제 기술기획업무 수행- 배터리/반도..."
https://kr.indeed.com/viewjob?jk=,,성남 판교역,"아니라, 설정을 기반으로 한 메카닉요소가 포함된 배경및 10세기고증을 고려한 월드/무드 컨셉아트를 개발 한다. c.프랍시트제작 아트컨셉에 맞는 게임내 건물,소품,자연물등의 수준높은 컨셉아트를 제작하고, 타부서 아티스트들이..."
https://kr.indeed.com/viewjob?jk=,,서울,Description Your opportunity You... responsible for c o-defining and delivering the Retail people agenda... scope...
https://kr.indeed.com/viewjob?jk=,,서울,"주식/선물옵션 유경험자 가능 4. C언어, SQL 등 개발 경력자, 관련... 우대3. 금융상품(펀드,파생결합증권), 주식/선물옵션 유경험자 가능4. C언어, SQL 등 개발 경력자, 관련 자격증 보유자 우대 1 명 근무조건..."
https://kr.indeed.com/viewjob?jk=,,서울,관련 기술 습득 기회 제공 [필수사항] ㆍ프로그래밍에 재능 및 열정이 인터넷·IT·통신·모바일·게임>응용프로그래머> C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머...
https://kr.indeed.com/viewjob?jk=,,성남 판교역,"보유 - 보안사고 아티팩트 자동 수집 도구 개발 경험 - 아티팩트 분석 도구를 능숙하게 사용 가능하신 분 - C, Java, Python 등을 통한 업무 자동화 및 분석도구 개발 경험 - 기업 CERT 직무 수행 경험..."
https://kr.indeed.com/viewjob?jk=,,안산 상록구,경력( 3년 이상 )학력: 대학교(4년)졸업자격사항 :ㆍLinux 기반 C/C++ 프로그램 경험 필수ㆍReal-time OS에 대한 전반적인 이해... 통신·모바일·게임>응용프로그래머> C·C++|인터넷·IT·통신·모바일·게임...
https://kr.indeed.com/viewjob?jk=,,서울,"만원 (월 6회 휴무, 1회 연차(한달만근시)) / 월 285만원 (월 5회 휴무, 1회 연차(한달만근시))<p c 서비스·여행·숙박·음식·미용·보안>요리·조리·제과·제빵>한식조리사|서비스·여행·숙박·음식·미용·보안>요리..."
https://kr.indeed.com/viewjob?jk=,,서울,"가능하고 책임감이 강한 분 • 새로운 기술, 환경에 도전적이며, 진취적인 분 • OSS 활용에 관심 있으신 분 • C/Java 기반의 프로젝트 개발 경험자 • 가이드 문서 및 고객 대응 문서 작업 가능 우대사항 • IT 업무..."
https://kr.indeed.com/viewjob?jk=,,서울 금천구,"관련 분야 전공자 펌웨어 개발 ( C, C++), 펌웨어 디버깅, ORCAD... 전기, 제어계측, 정보통신, 컴퓨터 공학 등 관련 분야 전공자펌웨어 개발 ( C, C++), 펌웨어 디버깅, ORCAD/PADS 사용 경험자[우대사항..."
